-100, 0.05
-90, 0.07
-80, 0.12
-70, 0.20
-60, 0.38
-50, 0.73
-40, 1.22
-30, 1.63
-20, 1.85
-10, 1.95
0, 1.99
10, 2.00
20, 1.97
30, 1.93
40, 1.83
50, 1.63
60, 1.20
70, 0.72
80, 0.38
90, 0.20
100, 0.11
110, 0.08
